Name,Age,GPA,Credits Completed,Year,Pathway
Paul Williams,18,1.16,40,Super Senior,Criminal Justice
Chris Jones,17,1.2,54,Senior,Early College
Chris Johnson,15,2.75,25,Sophomore,Medical
Linda West,14,0.34,14,Super Senior,Early Childhood Education
David Brown,14,3.85,47,Sophomore,Business
Elizabeth Moore,17,3.96,45,Jenior,Medical
Elizabeth Smith,15,1.61,14,Super Senior,Criminal Justice
Daniel Brown,19,2.33,27,Super Senior,Medical
Mark Davis,16,2.02,1,Senior,Business
Mary Smith,19,1.45,46,Senior,Criminal Justice
Chris Wilson,19,0.33,54,Sophomore,Medical
Daniel Davis,19,1.89,1,Jenior,Medical
Patricia Brown,16,1.85,57,Super Senior,Business
David Taylor ,15,0.68,38,Jenior,Early College
Kevin Anderson,17,4.35,58,Freshman,Marketing
Mary Taylor ,14,0.31,31,Sophomore,Early Childhood Education
John Brown,18,0.91,52,Freshman,Early Childhood Education
John Smith,17,3.42,1,Sophomore,Early College
Mike Wilson,19,0.71,46,Sophomore,Marketing
Jennifer Moore,15,1.01,3,Sophomore,Biology
Elizabeth Thomas,14,2.97,25,Super Senior,Early College
Robert Davis,14,2.09,31,Jenior,Early College
Linda Johnson,15,3.1,0,Sophomore,Medical
Mike Brown,18,2.84,20,Sophomore,Business
Daniel Williams,17,0.32,26,Super Senior,Criminal Justice
Chris Taylor ,17,1.28,19,Jenior,Engineering
James Wilson,17,1.72,56,Jenior,Business
David Williams,16,3.7,37,Jenior,Biology
Robert Anderson,18,3.93,26,Jenior,Early College
John Davis,14,2.45,44,Freshman,Business
Paul Johnson,17,2.82,43,Super Senior,Criminal Justice
Paul Johnson,19,3.35,27,Senior,Marketing
Patricia Miller,14,0.62,58,Sophomore,Early Childhood Education
Mike Smith,19,2.39,24,Sophomore,Engineering
Mike Miller,17,3.15,16,Senior,Engineering
Kevin Smith,17,1.48,57,Sophomore,Engineering
Mary Taylor ,19,2.85,19,Senior,Biology
Mary Taylor ,15,3.42,54,Sophomore,Early Childhood Education
John Smith,15,3.04,6,Sophomore,Medical
John Williams,17,4.41,25,Super Senior,Business
James Smith,15,1.76,59,Super Senior,Criminal Justice
Paul West,19,2.76,15,Super Senior,Biology
Mark Johnson,16,1.56,28,Jenior,Business
Mary Thomas,14,1.62,27,Jenior,Medical
Chris Williams,17,3.17,27,Super Senior,Medical
Mike Williams,18,1.95,60,Freshman,Business
Chris Jones,18,3.57,46,Jenior,Engineering
Kevin Smith,17,0.54,60,Super Senior,Business
Patricia Smith,18,4.46,27,Freshman,Early Childhood Education
Mike Taylor ,15,0.86,29,Sophomore,Criminal Justice
Daniel Brown,19,1.76,36,Super Senior,Criminal Justice
Mike Anderson,19,3.58,5,Sophomore,Medical
Mary Williams,19,2.32,30,Senior,Marketing
Elizabeth Smith,15,3.73,14,Freshman,Early Childhood Education
David Thomas,15,2.95,1,Sophomore,Criminal Justice
Chris Williams,18,2.83,60,Sophomore,Marketing
Mike West,18,0.73,35,Senior,Early College
Mary Brown,14,0.97,59,Super Senior,Criminal Justice
David Davis,16,2.8,3,Freshman,Early College
Jennifer Thomas,18,0.63,40,Jenior,Medical
David Williams,15,1.38,34,Senior,Biology
Robert Brown,14,3.62,0,Super Senior,Early College
Kanye Anderson,15,1.77,35,Super Senior,Biology
James Smith,16,2.88,28,Jenior,Business
Mike Williams,16,3.3,7,Freshman,Early College
Kanye Wilson,16,2.0,47,Jenior,Criminal Justice
Chris Wilson,16,4.23,14,Sophomore,Early College
Patricia Wilson,15,4.4,59,Freshman,Biology
Daniel Wilson,16,1.57,2,Senior,Early Childhood Education
Linda Taylor ,14,3.06,29,Sophomore,Criminal Justice
Robert Davis,16,2.73,22,Super Senior,Early Childhood Education
Daniel West,17,3.2,40,Senior,Medical
Mary Anderson,14,2.44,27,Jenior,Business
Robert West,16,2.04,31,Freshman,Biology
David Anderson,19,3.8,20,Sophomore,Early College
David Davis,16,0.94,14,Freshman,Early Childhood Education
Patricia Jones,18,0.96,25,Freshman,Medical
Jennifer Taylor ,17,1.58,25,Jenior,Criminal Justice
Patricia Davis,17,3.55,29,Senior,Early Childhood Education
Mark Wilson,19,2.68,10,Sophomore,Engineering
Chris Miller,14,0.59,44,Freshman,Medical
Mark Thomas,18,4.37,29,Sophomore,Engineering
Mary Taylor ,19,4.42,35,Super Senior,Early College
David Jones,18,3.15,39,Super Senior,Engineering
Jennifer Wilson,17,3.31,58,Jenior,Marketing
Chris Davis,15,1.3,19,Jenior,Early College
John Jones,16,1.55,4,Super Senior,Early College
David Jones,18,3.87,29,Sophomore,Early Childhood Education
Mike Taylor ,18,1.83,2,Jenior,Criminal Justice
Kevin Thomas,15,2.14,10,Freshman,Engineering
John Moore,17,3.57,9,Sophomore,Criminal Justice
Jennifer West,17,0.69,50,Super Senior,Criminal Justice
Mary Taylor ,16,0.4,35,Super Senior,Biology
Patricia Jones,19,2.34,21,Freshman,Early College
John Anderson,18,0.98,47,Sophomore,Medical
Robert Williams,17,0.76,4,Senior,Business
Paul Davis,15,2.5,23,Senior,Business
Mary Brown,15,3.05,50,Senior,Marketing
David Smith,18,0.39,16,Senior,Early Childhood Education
Robert Williams,15,2.17,4,Sophomore,Medical
Mike Taylor ,16,4.13,57,Super Senior,Engineering
Linda Jones,17,2.95,43,Sophomore,Early Childhood Education
Jennifer Miller,15,4.41,21,Sophomore,Early Childhood Education
Elizabeth Thomas,19,3.42,29,Sophomore,Criminal Justice
Paul Anderson,16,3.72,1,Freshman,Early Childhood Education
Robert Johnson,18,1.37,13,Sophomore,Early College
John West,19,2.77,22,Super Senior,Marketing
Paul Smith,15,1.33,6,Freshman,Business
Robert Jones,19,3.41,17,Senior,Biology
Mary Davis,15,2.61,40,Senior,Engineering
Kevin Johnson,15,2.63,30,Senior,Medical
Kevin Thomas,17,3.24,49,Super Senior,Criminal Justice
Patricia Wilson,14,1.61,57,Jenior,Engineering
Chris Miller,19,1.23,60,Senior,Business
Kevin Wilson,15,2.43,14,Sophomore,Criminal Justice
Daniel Anderson,16,2.03,21,Jenior,Medical
Mary Davis,19,3.93,38,Jenior,Early Childhood Education
Mark Moore,16,3.83,28,Jenior,Medical
Patricia Taylor ,15,3.33,34,Sophomore,Engineering
Paul Moore,18,1.38,28,Super Senior,Medical
Paul West,15,3.1,10,Super Senior,Criminal Justice
Daniel Jones,18,1.51,59,Senior,Biology
Robert Miller,17,3.12,58,Super Senior,Medical
Elizabeth Anderson,18,4.3,36,Senior,Criminal Justice
Kevin Thomas,16,2.33,12,Jenior,Business
Kevin Johnson,14,4.19,36,Jenior,Medical
Mike West,16,3.38,16,Sophomore,Early Childhood Education
Elizabeth Taylor ,15,2.41,8,Freshman,Business
Robert Brown,18,2.1,54,Sophomore,Criminal Justice
Robert Brown,18,3.12,50,Freshman,Early Childhood Education
Kanye Jones,14,1.09,38,Freshman,Early College
Linda Johnson,16,0.88,11,Freshman,Early Childhood Education
Mary Thomas,18,3.6,48,Freshman,Early College
Patricia Johnson,14,3.39,12,Senior,Engineering
Patricia Taylor ,17,3.99,42,Jenior,Marketing
Mark Davis,18,3.26,57,Sophomore,Early College
Daniel Moore,16,4.07,20,Senior,Early Childhood Education
Daniel Johnson,15,4.27,26,Senior,Engineering
Chris Smith,14,1.48,24,Super Senior,Criminal Justice
Patricia Wilson,18,4.03,60,Freshman,Medical
Chris Moore,15,1.45,51,Sophomore,Engineering
Mark Wilson,19,2.25,3,Jenior,Business
James Miller,18,1.3,29,Freshman,Biology
David Brown,19,2.37,4,Senior,Early College
David Taylor ,16,3.84,45,Super Senior,Medical
Jennifer Davis,15,4.24,28,Super Senior,Early College
Elizabeth Moore,14,3.2,45,Jenior,Business
Jennifer Brown,18,2.18,45,Jenior,Biology
Elizabeth Johnson,14,3.38,26,Super Senior,Early College
Mark Thomas,15,2.81,21,Freshman,Criminal Justice
Chris Wilson,14,1.54,14,Jenior,Marketing
Daniel Thomas,16,1.31,28,Senior,Marketing
Daniel West,19,2.47,44,Sophomore,Early College
James Anderson,18,3.7,16,Senior,Criminal Justice
Mary West,16,1.53,0,Senior,Early Childhood Education
Kevin Wilson,17,2.5,29,Sophomore,Biology
Daniel West,15,3.8,4,Freshman,Business
Robert Smith,14,2.64,44,Sophomore,Marketing
Linda Miller,19,1.16,16,Freshman,Early Childhood Education
Linda Williams,14,3.43,49,Senior,Early College
Paul Johnson,15,2.06,30,Sophomore,Early College
Paul Thomas,19,3.69,32,Super Senior,Medical
Jennifer Moore,18,4.03,14,Senior,Business
Robert Williams,17,3.96,17,Super Senior,Biology
Kanye Anderson,16,0.43,52,Senior,Early College
Patricia Moore,16,1.96,37,Senior,Early College
Chris Williams,14,1.02,0,Jenior,Early Childhood Education
Paul Davis,14,0.75,33,Super Senior,Criminal Justice
James Brown,17,2.53,44,Senior,Criminal Justice
Paul Jones,19,1.81,45,Sophomore,Engineering
Kevin Taylor ,16,1.49,55,Freshman,Marketing
Kevin Smith,16,4.48,36,Senior,Biology
Mary Johnson,15,0.68,24,Super Senior,Medical
Mary Moore,15,0.62,49,Super Senior,Early Childhood Education
Chris Wilson,14,1.9,21,Jenior,Marketing
Paul Johnson,19,2.83,32,Super Senior,Early College
Robert Smith,15,2.68,54,Freshman,Business
Linda Jones,15,2.34,28,Super Senior,Business
Linda Brown,19,2.07,44,Freshman,Medical
Patricia Smith,19,3.67,53,Jenior,Engineering
Paul Miller,16,1.48,10,Sophomore,Business
Chris Taylor ,19,2.27,26,Super Senior,Engineering
Linda Thomas,17,0.63,46,Sophomore,Business
James Moore,15,2.32,52,Super Senior,Criminal Justice
John Brown,16,2.97,5,Super Senior,Business
David Taylor ,14,2.41,33,Sophomore,Biology
Linda Smith,15,0.6,32,Jenior,Business
Mark Johnson,15,3.67,19,Senior,Early College
Paul Jones,18,1.07,27,Freshman,Early Childhood Education
Kanye Thomas,19,2.68,60,Sophomore,Medical
David Taylor ,17,2.78,48,Freshman,Biology
Kanye Taylor ,14,1.38,54,Senior,Engineering
Paul Smith,19,2.2,27,Freshman,Biology
Kanye Anderson,16,2.57,14,Senior,Criminal Justice
James Brown,19,1.68,36,Super Senior,Medical
Daniel Brown,16,0.38,34,Jenior,Marketing
James Anderson,15,4.49,16,Super Senior,Early Childhood Education
Daniel Thomas,18,1.6,59,Sophomore,Business
Patricia Smith,18,3.14,12,Jenior,Early Childhood Education
Kevin Johnson,15,1.86,6,Sophomore,Criminal Justice
Chris Smith,17,0.41,26,Jenior,Medical
David Taylor ,15,3.03,25,Super Senior,Biology
Mike Anderson,15,3.28,58,Super Senior,Early College
Kevin Miller,17,3.93,21,Senior,Medical
James Anderson,14,3.7,19,Freshman,Business
Paul Thomas,18,4.34,19,Super Senior,Engineering
Kanye Anderson,15,2.75,31,Sophomore,Early Childhood Education
Kanye Anderson,19,3.94,51,Senior,Early College
Paul Wilson,18,1.44,53,Super Senior,Marketing
Paul Jones,18,3.03,22,Super Senior,Early College
Mark Williams,15,1.86,42,Freshman,Biology
Jennifer Anderson,18,4.32,31,Freshman,Criminal Justice
Kevin Williams,18,1.03,12,Freshman,Criminal Justice
Kanye Brown,15,3.65,7,Jenior,Early Childhood Education
Jennifer Williams,17,4.26,52,Sophomore,Biology
Daniel Smith,19,3.93,60,Super Senior,Early College
Linda Miller,17,1.16,3,Sophomore,Early Childhood Education
Linda Miller,19,4.01,15,Super Senior,Business
Robert Moore,18,1.52,31,Jenior,Biology
John Smith,19,2.08,30,Sophomore,Business
Linda Thomas,17,3.84,50,Super Senior,Engineering
Chris Anderson,15,2.17,46,Sophomore,Business
Jennifer Williams,14,2.42,54,Super Senior,Marketing
Paul Thomas,17,1.7,6,Senior,Business
Mike Brown,17,0.98,14,Senior,Criminal Justice
Elizabeth Taylor ,16,2.39,51,Sophomore,Biology
David Wilson,18,1.92,29,Senior,Early College
Chris Miller,17,4.0,1,Senior,Engineering
Patricia Williams,16,0.67,0,Sophomore,Business
Kevin Jones,18,3.47,40,Jenior,Early College
Elizabeth Brown,17,4.3,27,Super Senior,Medical
Chris Davis,15,2.8,35,Jenior,Medical
Jennifer Johnson,19,1.61,14,Senior,Marketing
Mary Johnson,15,3.08,0,Freshman,Engineering
John Johnson,15,3.09,32,Senior,Marketing
Mark West,14,1.84,16,Super Senior,Criminal Justice
Jennifer Moore,15,1.79,48,Sophomore,Biology
Paul Williams,16,3.19,6,Jenior,Marketing
Robert Wilson,18,3.62,52,Jenior,Early Childhood Education
Mike Smith,15,2.11,26,Sophomore,Criminal Justice
Daniel West,14,1.75,35,Jenior,Early Childhood Education
Robert West,16,1.74,27,Freshman,Medical
John Wilson,17,0.43,59,Jenior,Early College
James Moore,15,0.8,57,Super Senior,Marketing
Kevin Jones,17,3.41,7,Sophomore,Medical
Kanye Davis,14,4.39,26,Freshman,Early College
Mike Moore,15,3.59,50,Freshman,Engineering
Elizabeth West,17,0.81,20,Sophomore,Biology
Kevin Brown,19,3.99,32,Jenior,Criminal Justice
David Williams,15,0.47,55,Jenior,Engineering
Chris Jones,19,3.31,16,Super Senior,Criminal Justice
Mike Miller,14,3.94,43,Super Senior,Biology
Chris Moore,18,2.15,30,Sophomore,Business
Linda Wilson,16,2.25,20,Freshman,Marketing
Mary Jones,15,1.94,29,Sophomore,Early Childhood Education
Chris West,19,4.24,23,Sophomore,Medical
Robert Davis,14,3.51,58,Freshman,Medical
Mary Moore,15,2.64,12,Sophomore,Marketing
Mark Anderson,19,1.86,9,Sophomore,Biology
Patricia Williams,19,0.66,0,Freshman,Early College
David Brown,19,0.83,40,Senior,Medical
Chris Williams,17,4.08,51,Sophomore,Criminal Justice
Mary Johnson,14,2.1,15,Sophomore,Business
Jennifer Moore,15,2.09,52,Freshman,Marketing
John Brown,16,3.31,27,Sophomore,Biology
Elizabeth Smith,17,0.77,41,Sophomore,Medical
Linda Jones,14,2.66,32,Freshman,Medical
Daniel Anderson,19,1.8,60,Sophomore,Business
David Smith,16,1.42,55,Freshman,Criminal Justice
Kevin Miller,16,1.89,59,Sophomore,Engineering
Jennifer Williams,15,1.07,60,Jenior,Engineering
John Anderson,19,0.63,32,Super Senior,Medical
John Jones,14,2.94,6,Super Senior,Early College
Mary West,17,4.09,15,Freshman,Engineering
Mike Jones,14,1.83,0,Sophomore,Medical
Daniel Johnson,14,4.35,24,Sophomore,Biology
Mike Taylor ,18,1.2,19,Senior,Business
Jennifer Smith,18,3.01,26,Sophomore,Early Childhood Education
Kevin Wilson,16,4.47,40,Jenior,Early College
Mark Anderson,16,4.24,8,Senior,Early College
Mike West,18,3.95,7,Sophomore,Criminal Justice
Daniel Jones,17,3.44,39,Jenior,Criminal Justice
Patricia Davis,17,3.59,19,Freshman,Engineering
Mark West,16,1.16,25,Jenior,Engineering
Mike Anderson,18,4.25,44,Freshman,Criminal Justice
Robert Jones,14,3.06,49,Senior,Engineering
Kanye Anderson,17,3.23,34,Sophomore,Marketing
Chris Wilson,14,2.61,19,Senior,Criminal Justice
Kanye Jones,16,1.34,52,Jenior,Early College
Mark Anderson,17,2.47,24,Freshman,Biology
John Anderson,15,2.34,33,Jenior,Marketing
James Jones,19,0.69,37,Freshman,Biology
Robert Jones,14,1.94,12,Sophomore,Marketing
David Davis,19,0.9,6,Freshman,Business
Jennifer Anderson,18,3.09,9,Jenior,Business
Mark Thomas,18,3.58,29,Freshman,Criminal Justice
David Taylor ,16,2.81,44,Sophomore,Marketing
Elizabeth Johnson,19,1.88,43,Senior,Engineering
Daniel Miller,18,3.69,46,Senior,Marketing
Kanye Davis,15,1.71,44,Sophomore,Medical
Elizabeth Davis,17,3.45,24,Sophomore,Marketing
Linda Taylor ,19,2.87,56,Jenior,Early College
Linda Jones,15,1.43,25,Freshman,Early College
Paul Wilson,14,3.05,41,Senior,Biology
David Miller,18,0.48,25,Freshman,Early Childhood Education
Patricia Thomas,18,4.0,48,Senior,Medical
Patricia Smith,19,2.54,23,Sophomore,Engineering
Kevin Thomas,16,0.46,43,Jenior,Early Childhood Education
